Well_ID,long,lat,depth,PCB
MW-01,-71.1192788,42.37143707,80,1050
MW-02,-71.11887624,42.37102137,80,604
MW-03,-71.1189986,42.3714822,30,240
MW-04,-71.11868002,42.3706793,30,653
MW-05,-71.11915772,42.37133593,30,850
MW-06,-71.11986822,42.37186866,80,6
MW-07,-71.12031043,42.37125062,80,0
MW-08,-71.11918975,42.37084446,80,612
MW-09,-71.12018849,42.37182705,30,7
MW-10,-71.11969149,42.37130671,30,1200
MW-11,-71.11949269,42.37104846,35,765
MW-12,-71.11853827,42.37123269,35,1
MW-13,-71.11958303,42.37188786,80,0
MW-14,-71.11895672,42.37194903,80,3
MW-15,-71.12002456,42.37097356,100,9
